#abgabe.csv
#Tobias
#Scharsching
#12123692
group,number,duration,size
Insertion Sort,1,5900,0
Insertion Sort,2,1100,1
Insertion Sort,3,1200,1
Insertion Sort,4,1000,2
Insertion Sort,5,1300,3
Insertion Sort,6,1700,3
Insertion Sort,7,2300,3
Insertion Sort,8,1100,3
Insertion Sort,9,1500,3
Insertion Sort,10,800,3
Insertion Sort,11,800,8
Insertion Sort,12,20400,8
Insertion Sort,13,1400,8
Insertion Sort,14,1300,8
Insertion Sort,15,21000,8
Insertion Sort,16,600,8
Insertion Sort,17,800,8
Insertion Sort,18,1200,8
Insertion Sort,19,1400,8
Insertion Sort,20,1329500,8
Insertion Sort,21,2600,8
Insertion Sort,22,2400,8
Insertion Sort,23,2000,8
Insertion Sort,24,1800,8
Insertion Sort,25,2100,8
Insertion Sort,26,1400,8
Insertion Sort,27,1700,8
Insertion Sort,28,1800,8
Insertion Sort,29,1700,8
Insertion Sort,30,1600,8
Insertion Sort,31,1300,8
Insertion Sort,32,900,8
Insertion Sort,33,700,8
Insertion Sort,34,600,0
Insertion Sort,35,700,1
Insertion Sort,36,900,1
Insertion Sort,37,1000,2
Insertion Sort,38,900,3
Insertion Sort,39,1300,3
Insertion Sort,40,1400,3
Insertion Sort,41,900,3
Insertion Sort,42,1100,3
Insertion Sort,43,800,3
Insertion Sort,44,500,8
Insertion Sort,45,700,8
Insertion Sort,46,1200,8
Insertion Sort,47,1200,8
Insertion Sort,48,2100,8
Insertion Sort,49,900,8
Insertion Sort,50,1300,8
Insertion Sort,51,2000,8
Insertion Sort,52,2000,8
Insertion Sort,53,2800,8
Insertion Sort,54,2900,8
Insertion Sort,55,2900,8
Insertion Sort,56,2500,8
Insertion Sort,57,3300,8
Insertion Sort,58,1900,8
Insertion Sort,59,1400,8
Insertion Sort,60,1500,8
Insertion Sort,61,1700,8
Insertion Sort,62,1400,8
Insertion Sort,63,1200,8
Insertion Sort,64,1100,8
Insertion Sort,65,900,8
Insertion Sort,66,600,8
Brute Force,67,25000,0
Brute Force,68,500,1
Brute Force,69,400,1
Brute Force,70,400,2
Brute Force,71,500,3
Brute Force,72,4300,3
Brute Force,73,1900,3
Brute Force,74,500,3
Brute Force,75,1700,3
Brute Force,76,500,3
Brute Force,77,500,8
Brute Force,78,400,8
Brute Force,79,1700,8
Brute Force,80,2000,8
Brute Force,81,2100,8
Brute Force,82,400,8
Brute Force,83,600,8
Brute Force,84,1600,8
Brute Force,85,2000,8
Brute Force,86,3600,8
Brute Force,87,3100,8
Brute Force,88,3200,8
Brute Force,89,2700,8
Brute Force,90,2400,8
Brute Force,91,17500,8
Brute Force,92,1800,8
Brute Force,93,2100,8
Brute Force,94,2900,8
Brute Force,95,21800,8
Brute Force,96,2000,8
Brute Force,97,1600,8
Brute Force,98,500,8
Brute Force,99,500,8
SplitValue - Random,100,7000,1
SplitValue - Random,101,700,2
SplitValue - Random,102,700,3
SplitValue - Random,103,15600,3
SplitValue - Random,104,3000,3
SplitValue - Random,105,700,3
SplitValue - Random,106,2700,3
SplitValue - Random,107,700,3
SplitValue - Random,108,700,8
SplitValue - Random,109,3000,8
SplitValue - Random,110,2200,8
SplitValue - Random,111,2200,8
SplitValue - Random,112,700,8
SplitValue - Random,113,2200,8
SplitValue - Random,114,2100,8
SplitValue - Random,115,1900,8
SplitValue - Random,116,2100,8
SplitValue - Random,117,2300,8
SplitValue - Random,118,2000,8
SplitValue - Random,119,2100,8
SplitValue - Random,120,1900,8
SplitValue - Random,121,2000,8
SplitValue - Random,122,2200,8
SplitValue - Random,123,2300,8
SplitValue - Random,124,2200,8
SplitValue - Random,125,2000,8
SplitValue - Random,126,2000,8
SplitValue - Random,127,800,8
SplitValue - First,128,800,1
SplitValue - First,129,800,2
SplitValue - First,130,800,3
SplitValue - First,131,3600,3
SplitValue - First,132,1000,3
SplitValue - First,133,700,3
SplitValue - First,134,900,3
SplitValue - First,135,600,3
SplitValue - First,136,700,8
SplitValue - First,137,1000,8
SplitValue - First,138,900,8
SplitValue - First,139,900,8
SplitValue - First,140,700,8
SplitValue - First,141,1000,8
SplitValue - First,142,900,8
SplitValue - First,143,900,8
SplitValue - First,144,1000,8
SplitValue - First,145,900,8
SplitValue - First,146,1000,8
SplitValue - First,147,1100,8
SplitValue - First,148,1000,8
SplitValue - First,149,1000,8
SplitValue - First,150,900,8
SplitValue - First,151,900,8
SplitValue - First,152,900,8
SplitValue - First,153,900,8
SplitValue - First,154,1000,8
SplitValue - First,155,700,8
SplitValue - Median Of Three,156,700,1
SplitValue - Median Of Three,157,600,2
SplitValue - Median Of Three,158,700,3
SplitValue - Median Of Three,159,1400,3
SplitValue - Median Of Three,160,1300,3
SplitValue - Median Of Three,161,1000,3
SplitValue - Median Of Three,162,2000,3
SplitValue - Median Of Three,163,900,3
SplitValue - Median Of Three,164,1800,8
SplitValue - Median Of Three,165,22300,8
SplitValue - Median Of Three,166,4700,8
SplitValue - Median Of Three,167,1900,8
SplitValue - Median Of Three,168,1100,8
SplitValue - Median Of Three,169,1900,8
SplitValue - Median Of Three,170,1700,8
SplitValue - Median Of Three,171,1500,8
SplitValue - Median Of Three,172,2700,8
SplitValue - Median Of Three,173,1900,8
SplitValue - Median Of Three,174,1800,8
SplitValue - Median Of Three,175,1100,8
SplitValue - Median Of Three,176,1300,8
SplitValue - Median Of Three,177,1200,8
SplitValue - Median Of Three,178,1300,8
SplitValue - Median Of Three,179,1500,8
SplitValue - Median Of Three,180,1200,8
SplitValue - Median Of Three,181,1300,8
SplitValue - Median Of Three,182,1800,8
SplitValue - Median Of Three,183,700,8
Split,184,5600,8
Split,185,500,8
Split,186,2400,8
Split,187,2200,8
Split,188,2200,8
Split,189,1800,8
Split,190,2200,8
Split,191,2400,8
Split,192,22900,8
Split,193,2000,8
Split,194,2100,8
Split,195,2100,8
Split,196,2300,8
Split,197,2100,8
Split,198,2000,8
Split,199,2300,8
Split,200,2700,8
Split,201,2600,8
Split,202,3400,8
Split,203,2200,8
Split,204,2200,8
Split,205,2100,8
Split,206,2300,8
Split,207,2300,8
Split,208,2100,8
Split,209,2200,8
Split,210,2100,8
Split,211,2200,8
Split,212,2300,8
Split,213,2300,8
Split,214,2100,8
Split,215,2700,8
Split,216,3200,8
Split,217,6800,8
Split,218,4100,8
Split,219,2300,8
Split,220,2700,8
Split,221,2300,8
Split,222,2600,8
Split,223,2400,8
Split,224,2300,8
Split,225,2400,8
Split,226,2200,8
Split,227,2500,8
Split,228,2400,8
Split,229,2300,8
Split,230,2100,8
Split,231,2100,8
Split,232,2100,8
Split,233,2000,8
Split,234,2000,8
Split,235,2300,8
Split,236,2100,8
Split,237,2400,8
Split,238,2300,8
Split,239,2400,8
Split,240,2400,8
Split,241,2200,8
Split,242,2300,8
Split,243,2500,8
Split,244,2300,8
Split,245,2300,8
Split,246,2400,8
Split,247,2300,8
Split,248,4400,8
Split,249,2500,8
Split,250,2400,8
Split,251,2700,8
Split,252,4900,8
Split,253,2600,8
Split,254,2700,8
Split,255,2200,8
Split,256,2300,8
Split,257,2400,8
Split,258,2300,8
Split,259,2000,8
Split,260,2400,8
Split,261,2300,8
Split,262,21500,8
Split,263,4100,8
Split,264,2200,8
Split,265,2300,8
Split,266,2400,8
Split,267,2100,8
Split,268,2800,8
Split,269,2800,8
Split,270,2700,8
Split,271,2700,8
Split,272,2400,8
Split,273,2300,8
Split,274,2400,8
Split,275,2500,8
Split,276,4100,8
Split,277,2400,8
